source_type;host;name;cpus;ram_mb;volumes_count;volumes_capacity_total_gb;volumes;networks
docker;brh-tools03;host_inventory-sidecar_tools04-1;-1;19;2;-1;/app,/textfiles;host_inventory_default
docker;brh-tools03;host_inventory-node_exporter-1;-1;13;1;-1;/textfiles;host_inventory_default
docker;brh-tools03;grafana;-1;141;3;-1;/etc/grafana/dashboards,/etc/grafana/provisioning,/var/lib/grafana;prometheus,traefik
docker;brh-tools03;prometheus;-1;558;2;-1;/etc/prometheus,/prometheus;prometheus,traefik
docker;brh-tools03;alertmanager;-1;18;2;-1;/alertmanager,/etc/alertmanager/config.yml;prometheus,traefik
docker;brh-tools03;vcenter-simulator;0;10;0;-1;;prometheus_default
docker;brh-tools03;netbox-worker;-1;211;6;-1;/etc/netbox/config,/home/tools/backup.sh,/opt/backups_local,/opt/netbox/netbox/media,/opt/netbox/netbox/reports,/opt/netbox/netbox/scripts;netbox_default
docker;brh-tools03;netbox-housekeeping;-1;6;6;-1;/etc/netbox/config,/home/tools/backup.sh,/opt/backups_local,/opt/netbox/netbox/media,/opt/netbox/netbox/reports,/opt/netbox/netbox/scripts;netbox_default
docker;brh-tools03;netbox;-1;410;6;-1;/etc/netbox/config,/home/tools/backup.sh,/opt/backups_local,/opt/netbox/netbox/media,/opt/netbox/netbox/reports,/opt/netbox/netbox/scripts;macvlan-postgres,netbox_default,traefik
docker;brh-tools03;netbox-redis;-1;4;1;-1;/data;netbox_default
docker;brh-tools03;netbox-redis-cache;-1;3;1;-1;/data;netbox_default
docker;brh-tools03;gitlab;-1;6065;5;-1;/etc/gitlab,/home/tools/backup.sh,/opt/backups_local,/var/log/gitlab,/var/opt/gitlab;traefik
docker;brh-tools03;nfs-server;-1;82;3;-1;/etc/exports,/export/backups,/export/clonezilla;macvlan-nfs
docker;brh-tools03;postgres;-1;212;3;-1;/backups_local,/home/tools/backup.sh,/var/lib/postgresql/data;macvlan-postgres
docker;brh-tools03;mariadb;-1;138;3;-1;/backups_local,/home/tools/backup.sh,/var/lib/mysql;macvlan-mariadb
docker;brh-tools03;taiga-gateway;0;6;3;-1;/etc/nginx/conf.d/default.conf,/taiga/media,/taiga/static;taiga,traefik
docker;brh-tools03;taiga-back;1;285;4;-1;/home/tools/backup.sh,/opt/backups_local,/taiga/media,/taiga/static;macvlan-postgres,taiga
docker;brh-tools03;taiga-async;0;347;4;-1;/home/tools/backup.sh,/opt/backups_local,/taiga/media,/taiga/static;taiga
docker;brh-tools03;taiga-events;0;64;0;-1;;taiga
docker;brh-tools03;taiga-async-rabbitmq;0;101;1;-1;/var/lib/rabbitmq;taiga
docker;brh-tools03;taiga-events-rabbitmq;0;100;1;-1;/var/lib/rabbitmq;taiga
docker;brh-tools03;taiga-front;0;9;0;-1;;taiga
docker;brh-tools03;taiga-protected;0;84;0;-1;;taiga
docker;brh-tools03;pg-17-postgres-1;-1;134;1;-1;/var/lib/postgresql/data;macvlan-postgres
docker;brh-tools03;traefik-brh-tools03;-1;108;3;-1;/etc/traefik,/letsencrypt,/var/run/docker.sock;traefik
docker;brh-tools03;cadvisor-brh-tools03;-1;113;4;-1;/rootfs,/sys,/var/lib/docker,/var/run;cadvisor_default
docker;brh-tools03;portainer-brh-tools03;-1;80;2;-1;/data,/var/run/docker.sock;traefik
docker;brh-tools03;wireguard-brh-tools03;-1;47;1;-1;/etc/wireguard;traefik
source_type;host;name;cpus;ram_mb;volumes_count;volumes_capacity_total_gb;volumes;networks
docker;brh-tools04;cadvisor-brh-tools04;-1;63;4;-1;/rootfs,/sys,/var/lib/docker,/var/run;cadvisor_default
source_type;host;name;cpus;ram_mb;volumes_count;volumes_capacity_total_gb;volumes;networks
docker;brh-tools05;mc-sde;4;2998;4;-1;/config,/data,/data/server-icon.png,/plugins;macvlan-http-lb,macvlan-minecraft
docker;brh-tools05;mc-echo;4;3588;4;-1;/config,/data,/data/server-icon.png,/plugins;macvlan-http-lb,macvlan-minecraft
docker;brh-tools05;cadvisor-brh-tools05;-1;88;4;-1;/rootfs,/sys,/var/lib/docker,/var/run;cadvisor_default
source_type;host;name;cpus;ram_mb;volumes_count;volumes_capacity_total_gb;volumes;networks
docker;brh-tools06;cadvisor-brh-tools06;-1;63;4;-1;/rootfs,/sys,/var/lib/docker,/var/run;cadvisor_default
